Area,Percentage Insecurity,Import(Tonnes),Export(Tonnes),Production(Tonnes),Population(1000persons),GDP(Million US$),Production per person(kg),Net Import per person(kg),GDP per person(k US$),PD standard,NI standard,GDP standard,,Observation,Predicted Y,Residuals,,,,,,,,,,
Botswana,23.7,382957,23468,48548,2499.702,1886015,19.42151504,143.8127425,754.4959359,-0.82244,0.357536,1.821265197,,14,11.41774,12.28226,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,?????? 95.0%,?????? 95.0%
Brazil,3.5,9433271,2943,1.21E+08,211782.9,68913.75,5.71E+02,44.52827872,0.325398085,0.371254,0.131748,-0.27395739,,15,7.578645,-4.07864,,Intercept,9.427119,1.059657,8.896386,1.02E-14,7.327946,11.52629,7.327946,11.52629
Bulgaria,2,146375,223,11130990,7052.532,15990.8,1578.296986,20.72333738,2.267384253,2.551194,0.077611,-0.2685622,,16,-3.69197,5.691969,,PD standard,-5.20269,1.214188,-4.28491,3.84E-05,-7.60798,-2.79739,-7.60798,-2.79739
Burkina Faso,15.4,643045,7834751,4939630,20951.64,27097.96,235.7634056,-343.2526523,1.293357465,-0.35425,-0.75013,-0.27126822,,17,12.59195,2.808045,,NI standard,-1.40766,1.205545,-1.16765,0.245383,-3.79583,0.980518,-3.79583,0.980518
Cambodia,10.5,61384,65,11781000,16207.75,39007.35,726.8744891,3.783313538,2.406709753,0.708589,0.039087,-0.26817512,,18,5.948366,4.551634,,GDP standard,-0.98008,1.07215,-0.91413,0.36258,-3.104,1.143841,-3.104,1.143841
Cameroon,27.3,1659339,556836,3718722,25782.34,1741497,144.2352401,42.7619448,67.54611878,-0.55233,0.127731,-0.08720603,,19,12.20638,15.09362,,,,,,,,,,
Canada,0.9,3162730,7653,61473900,37522.58,279385.5,1638.317514,84.08475643,7.445796638,2.681087,0.221705,-0.25417563,,20,-4.58469,5.484695,,,,,,,,,,
Chile,3.6,3829727,0,3294526,19039.49,63951.11,173.0364626,201.1465118,3.358866755,-0.49,0.487922,-0.26552986,,21,11.54984,-7.94984,,,,,,,,,,
Costa Rica,2.6,1366273,13140,170322,5084.532,58539.61,33.49806826,266.1273447,11.51327398,-0.79198,0.635699,-0.24287544,,22,12.89073,-10.2907,,,,,,,,,,
C??te d'Ivoire,9.1,2029688,36459,3139196,26147.55,62246.2,120.0569843,76.23004832,2.380574853,-0.60465,0.203842,-0.26824773,,23,12.54888,-3.44888,,,,,,,,,,
Croatia,0.9,188093,1290381,3513320,4129.752,252498,850.7338939,-266.9138486,61.1412017,0.97664,-0.57652,-0.10500005,,24,5.26042,-4.36042,,,,,,,,,,
Czechia,0.8,522457,2254726,7646150,10536.87,16331.45,725.6566703,-164.4007186,1.549933709,0.705954,-0.34339,-0.2705554,,25,6.502804,-5.7028,,,,,,,,,,
Democratic Republic of the Congo,38.5,692307,515,5703884,25755.44,347561.3,221.4632714,26.86003423,13.4946753,-0.3852,0.091567,-0.23737074,,26,11.53494,26.96506,,,,,,,,,,
Denmark,1,896179,1364456,9517830,5795.878,317359.3,1642.172247,-80.79483385,54.75603524,2.689429,-0.15326,-0.1227392,,27,-4.22909,5.229093,,,,,,,,,,
Egypt,5.8,19008436,62234,21913681,105618.7,26896.66,207.4791775,179.3830259,0.254658124,-0.41546,0.438429,-0.27415391,,28,11.24016,-5.44016,,,,,,,,,,
El Salvador,12.3,1188166,6660,921410,6280.217,31045.59,146.7162679,188.1313974,4.943394472,-0.54696,0.458324,-0.26112775,,29,11.88354,0.416461,,,,,,,,,,
Estonia,0.8,72454,1070835,1624580,1327.039,92561.9,1224.214209,-752.3373465,69.75070062,1.784906,-1.68045,-0.0810813,,30,2.58578,-1.78578,,,,,,,,,,
Ethiopia,12.6,2082035,1814,29672647,114120.6,5496.254,260.0113126,18.22826904,0.048161804,-0.30177,0.071937,-0.2747276,,31,11.16512,1.434878,,,,,,,,,,
Fiji,2,215637,517,7172,918.465,268782.5,7.808680788,234.2168727,292.6431601,-0.84758,0.563129,0.538154392,,32,12.51668,-10.5167,,,,,,,,,,
Finland,1.8,87864,572966,4036110,5521.537,2728870,730.9758134,-87.85633421,494.2228948,0.717465,-0.16932,1.098179467,,33,4.856416,-3.05642,,,,,,,,,,
France,<0.5,1742804,31296380,70378890,64399.76,17476.98,1092.84398,-458.9081698,0.271382688,1.500602,-1.01315,-0.27410745,,34,3.314776,-2.81478,,,,,,,,,,
Georgia,9,623070,9752,371431,3770.811,3888327,98.50162206,162.6488307,1031.164649,-0.6513,0.400372,2.589901078,,35,9.713727,-0.71373,,,,,,,,,,
